Statistic,Player,Team,Value,Rank,Year
Slugging Average,Philadelphia,.355,,,1910
Stolen Bases,New York,288,,,1910
Triples,Philadelphia,105,,,1910
Complete Games,Philadelphia,123,,,1910
ERA,Philadelphia,1.79,,,1910
Fewest Hits Allowed,Philadelphia,1103,,,1910
Fewest Home Runs Allowed,Philadelphia,8,,,1910
Fewest Walks Allowed,New York,364,,,1910
Saves,New York,8,,,1910
Shutouts,Philadelphia,24,,,1910
Strikeouts,Philadelphia,789,,,1910
Base on Balls,Donie Bush,Detroit,98.0,,1911
Batting Average,Ty Cobb,Detroit,0.419,,1911
Doubles,Ty Cobb,Detroit,47.0,,1911
Hits,Ty Cobb,Detroit,248.0,,1911
Home Runs,Frank Baker,Philadelphia,11.0,,1911
On Base Percentage,Joe Jackson,Cleveland,0.468,,1911
RBI,Ty Cobb,Detroit,127.0,,1911
Runs,Ty Cobb,Detroit,147.0,,1911
Slugging Average,Ty Cobb,Detroit,0.62,,1911
Stolen Bases,Ty Cobb,Detroit,83.0,,1911
Total Bases,Ty Cobb,Detroit,367.0,,1911
Triples,Ty Cobb,Detroit,24.0,,1911
1911 A.L. History | 1911 N.L. History | Year-by-Year History,1911 A.L. History | 1911 N.L. History | Year-by-Year History,1911 A.L. History | 1911 N.L. History | Year-by-Year History,,,1911
Complete Games,Walter Johnson,Washington,36.0,,1911
ERA,Vean Gregg,Cleveland,1.8,,1911
Games,Ed Walsh,Chicago,56.0,,1911
Saves,Charley Hall,Boston,4.0,,1911
Saves,Eddie Plank,Philadelphia,4.0,,1911
Saves,Ed Walsh,Chicago,4.0,,1911
Shutouts,Eddie Plank,Philadelphia,6.0,,1911
Shutouts,Walter Johnson,Washington,6.0,,1911
Strikeouts,Ed Walsh,Chicago,255.0,,1911
Winning Percentage,Chief Bender,Philadelphia,0.773,,1911
Wins,Jack Coombs,Philadelphia,28.0,,1911
1911 A.L. History | 1911 N.L. History | Year-by-Year History,1911 A.L. History | 1911 N.L. History | Year-by-Year History,1911 A.L. History | 1911 N.L. History | Year-by-Year History,,,1911
Team | Roster,W,L,,,1911
Philadelphia Athletics,101,50,0.669,0.0,1911
Detroit Tigers,89,65,0.578,,1911
Cleveland Naps,80,73,0.523,22.0,1911
Chicago White Sox,77,74,0.51,24.0,1911
Boston Red Sox,78,75,0.51,24.0,1911
New York Highlanders,76,76,0.5,,1911
Washington Senators,64,90,0.416,,1911
St. Louis Browns,45,107,0.296,,1911
Team | Roster,W,L,,,1911
American League Team Standings,American League Team Standings,American League Team Standings,,,1911
Base on Balls,Boston,506,,,1911
Batting Average,Philadelphia,.296,,,1911
Doubles,Cleveland,238,,,1911
Hits,Detroit,1544,,,1911
Home Runs,Boston,35,,,1911
Home Runs,Philadelphia,35,,,1911
On Base Percentage,Philadelphia,.357,,,1911
Runs,Philadelphia,861,,,1911
Slugging Average,Philadelphia,.398,,,1911
Stolen Bases,Detroit,276,,,1911
Triples,Detroit,96,,,1911
Triples,New York,96,,,1911
Complete Games,Detroit,108,,,1911
ERA,Boston,2.74,,,1911
Fewest Hits Allowed,Boston,1309,,,1911
Fewest Home Runs Allowed,Cleveland,17,,,1911
Fewest Home Runs Allowed,Philadelphia,17,,,1911
Fewest Walks Allowed,Chicago,384,,,1911
Saves,Philadelphia,13,,,1911
Shutouts,Chicago,17,,,1911
Strikeouts,Chicago,752,,,1911
Base on Balls,Donie Bush,Detroit,117.0,,1912
Batting Average,Ty Cobb,Detroit,0.409,,1912
Doubles,Tris Speaker,Boston,53.0,,1912
Hits,Ty Cobb,Detroit,226.0,,1912
Hits,Joe Jackson,Cleveland,226.0,,1912
Home Runs,Frank Baker,Philadelphia,10.0,,1912
Home Runs,Tris Speaker,Boston,10.0,,1912
On Base Percentage,Tris Speaker,Boston,0.464,,1912
RBI,Frank Baker,Philadelphia,130.0,,1912
Runs,Eddie Collins,Philadelphia,137.0,,1912
Slugging Average,Ty Cobb,Detroit,0.584,,1912
Stolen Bases,Clyde Milan,Washington,88.0,,1912
Total Bases,Joe Jackson,Cleveland,331.0,,1912
Triples,Joe Jackson,Cleveland,26.0,,1912
1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1912
Complete Games,Smoky Joe Wood,Boston,35.0,,1912
ERA,Walter Johnson,Washington,1.39,,1912
Games,Ed Walsh,Chicago,62.0,,1912
Saves,Ed Walsh,Chicago,10.0,,1912
Shutouts,Smoky Joe Wood,Boston,10.0,,1912
Strikeouts,Walter Johnson,Washington,303.0,,1912
Winning Percentage,Smoky Joe Wood,Boston,0.872,,1912
Wins,Smoky Joe Wood,Boston,34.0,,1912
1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1912
Team | Roster,W,L,,,1912
Boston Red Sox,105,47,0.691,0.0,1912
Washington Senators,91,61,0.599,14.0,1912
Philadelphia Athletics,90,62,0.592,15.0,1912
Chicago White Sox,78,76,0.506,28.0,1912
Cleveland Naps,75,78,0.49,,1912
Detroit Tigers,69,84,0.451,,1912
St. Louis Browns,53,101,0.344,53.0,1912
New York Highlanders,50,102,0.329,55.0,1912
Team | Roster,W,L,,,1912
American League Team Standings,American League Team Standings,American League Team Standings,,,1912
Base on Balls,Boston,565,,,1912
Batting Average,Philadelphia,.282,,,1912
Doubles,Boston,269,,,1912
Hits,Philadelphia,1442,,,1912
Home Runs,Boston,29,,,1912
On Base Percentage,Boston,.355,,,1912
Runs,Boston,799,,,1912
Slugging Average,Boston,.380,,,1912
Stolen Bases,Washington,274,,,1912
Triples,Philadelphia,108,,,1912
Complete Games,Boston,108,,,1912
ERA,Washington,2.69,,,1912
Fewest Hits Allowed,Washington,1219,,,1912
Fewest Home Runs Allowed,Philadelphia,12,,,1912
Fewest Walks Allowed,Boston,385,,,1912
Saves,Chicago,16,,,1912
Shutouts,Boston,18,,,1912
Strikeouts,Washington,828,,,1912
Base on Balls,Burt Shotton,St. Louis,99.0,,1913
Batting Average,Ty Cobb,Detroit,0.389,,1913
Doubles,Joe Jackson,Cleveland,39.0,,1913
Hits,Joe Jackson,Cleveland,197.0,,1913
Home Runs,Frank Baker,Philadelphia,12.0,,1913
On Base Percentage,Ty Cobb,Detroit,0.466,,1913
RBI,Frank Baker,Philadelphia,117.0,,1913
Runs,Eddie Collins,Philadelphia,125.0,,1913
Slugging Average,Joe Jackson,Cleveland,0.551,,1913
Stolen Bases,Clyde Milan,Washington,75.0,,1913
Total Bases,Sam Crawford,Detroit,298.0,,1913
Triples,Sam Crawford,Detroit,23.0,,1913
1913 A.L. History | 1913 N.L. History | Year-by-Year History,1913 A.L. History | 1913 N.L. History | Year-by-Year History,1913 A.L. History | 1913 N.L. History | Year-by-Year History,,,1913
Complete Games,Walter Johnson,Washington,29.0,,1913
ERA,Walter Johnson,Washington,1.14,,1913
Games,Reb Russell,Chicago,52.0,,1913
Saves,Chief Bender,Philadelphia,13.0,,1913
Shutouts,Walter Johnson,Washington,11.0,,1913
Strikeouts,Walter Johnson,Washington,243.0,,1913
Winning Percentage,Walter Johnson,Washington,0.837,,1913
Wins,Walter Johnson,Washington,36.0,,1913
1913 A.L. History | 1913 N.L. History | Year-by-Year History,1913 A.L. History | 1913 N.L. History | Year-by-Year History,1913 A.L. History | 1913 N.L. History | Year-by-Year History,,,1913
Team | Roster,W,L,,,1913
Philadelphia Athletics,96,57,0.627,0.0,1913
Washington Senators,90,64,0.584,,1913
Cleveland Naps,86,66,0.566,,1913
Boston Red Sox,79,71,0.527,,1913
Chicago White Sox,78,74,0.513,,1913
Detroit Tigers,66,87,0.431,30.0,1913
New York Yankees,57,94,0.377,38.0,1913
St. Louis Browns,57,96,0.373,39.0,1913
Team | Roster,W,L,,,1913
1913 American League Final Standings,1913 American League Final Standings,1913 American League Final Standings,,,1913
Base on Balls,New York,534,,,1913
Base on Balls,Philadelphia,534,,,1913
Batting Average,Philadelphia,.280,,,1913
Doubles,Philadelphia,223,,,1913
Hits,Philadelphia,1412,,,1913
Home Runs,Philadelphia,33,,,1913
On Base Percentage,Philadelphia,.356,,,1913
Runs,Philadelphia,794,,,1913
Slugging Average,Philadelphia,.375,,,1913
Stolen Bases,Washington,287,,,1913
Triples,Boston,101,,,1913
Triples,Detroit,101,,,1913
Complete Games,St. Louis,104,,,1913
ERA,Chicago,2.33,,,1913
Fewest Hits Allowed,Washington,1177,,,1913
Fewest Home Runs Allowed,Boston,6,,,1913
Fewest Walks Allowed,Chicago,438,,,1913
Saves,Philadelphia,22,,,1913
Shutouts,Washington,23,,,1913
Strikeouts,Washington,758,,,1913
Base on Balls,Donie Bush,Detroit,112.0,,1914
Batting Average,Ty Cobb *,Detroit,0.368,,1914
Doubles,Tris Speaker,Boston,46.0,,1914
Hits,Tris Speaker,Boston,193.0,,1914
Home Runs,Frank Baker,Philadelphia,9.0,,1914
On Base Percentage,Eddie Collins,Philadelphia,0.452,,1914
RBI,Sam Crawford,Detroit,104.0,,1914
Runs,Eddie Collins,Philadelphia,122.0,,1914
Slugging Average,Tris Speaker,Boston,0.503,,1914
Stolen Bases,Fritz Maisel,New York,74.0,,1914
Total Bases,Tris Speaker,Boston,287.0,,1914
Triples,Sam Crawford,Detroit,26.0,,1914
1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1914
Complete Games,Walter Johnson,Washington,33.0,,1914
ERA,Dutch Leonard,Boston,0.96,,1914
Games,Walter Johnson,Washington,51.0,,1914
Saves,Jack Bentley,Washington,4.0,,1914
Saves,Hooks Dauss,Detroit,4.0,,1914
Saves,Red Faber,Chicago,4.0,,1914
Saves,Roy Mitchell,St. Louis,4.0,,1914
Saves,Jim Shaw,Washington,4.0,,1914
Shutouts,Walter Johnson,Washington,9.0,,1914
Strikeouts,Walter Johnson,Washington,225.0,,1914
Winning Percentage,Chief Bender,Philadelphia,0.85,,1914
Wins,Walter Johnson,Washington,28.0,,1914
1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1914
Team | Roster,W,L,,,1914
Philadelphia Athletics,99,53,0.651,0.0,1914
Boston Red Sox,91,62,0.595,,1914
Washington Senators,81,73,0.526,19.0,1914
Detroit Tigers,80,73,0.523,,1914
St. Louis Browns,71,82,0.464,,1914
New York Yankees,70,84,0.455,30.0,1914
Chicago White Sox,70,84,0.455,30.0,1914
Cleveland Naps,51,102,0.333,,1914
Team | Roster,W,L,,,1914
Base on Balls,New York,577,,,1914
Batting Average,Philadelphia,.272,,,1914
Doubles,Boston,226,,,1914
Hits,Philadelphia,1392,,,1914
Home Runs,Philadelphia,29,,,1914
On Base Percentage,Philadelphia,.348,,,1914
Runs,Philadelphia,749,,,1914
Slugging Average,Philadelphia,.352,,,1914
Stolen Bases,New York,251,,,1914
Triples,Boston,85,,,1914
Complete Games,New York,98,,,1914
ERA,Boston,2.36,,,1914
Fewest Hits Allowed,Washington,1170,,,1914
Fewest Home Runs Allowed,Cleveland,10,,,1914
Fewest Walks Allowed,New York,390,,,1914
Saves,Washington,20,,,1914
Shutouts,Washington,25,,,1914
Strikeouts,Washington,784,,,1914
Base on Balls,Eddie Collins,Chicago,119.0,,1915
Batting Average,Ty Cobb,Detroit,0.369,,1915
Doubles,Bobby Veach,Detroit,40.0,,1915
Hits,Ty Cobb,Detroit,208.0,,1915
Home Runs,Braggo Roth,Chicago,7.0,,1915
Home Runs,Braggo Roth,Cleveland,7.0,,1915
On Base Percentage,Ty Cobb,Detroit,0.486,,1915
RBI,Sam Crawford,Detroit,112.0,,1915
RBI,Bobby Veach,Detroit,112.0,,1915
Runs,Ty Cobb,Detroit,144.0,,1915
Slugging Average,Jack Fournier,Chicago,0.491,,1915
Stolen Bases,Ty Cobb,Detroit,96.0,,1915
Total Bases,Ty Cobb,Detroit,274.0,,1915
Triples,Sam Crawford,Detroit,19.0,,1915
1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1915
Complete Games,Walter Johnson,Washington,35.0,,1915
ERA,Smoky Joe Wood,Boston,1.49,,1915
Games,Harry Coveleski,Detroit,50.0,,1915
Games,Red Faber,Chicago,50.0,,1915
Saves,Carl Mays,Boston,7.0,,1915
Shutouts,Walter Johnson,Washington,7.0,,1915
Shutouts,Jim Scott,Chicago,7.0,,1915
Strikeouts,Walter Johnson,Washington,203.0,,1915
Winning Percentage,Smoky Joe Wood,Boston,0.75,,1915
Wins,Walter Johnson,Washington,27.0,,1915
1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1915
Team | Roster,W,L,,,1915
Boston Red Sox,101,50,0.669,0.0,1915
Detroit Tigers,100,54,0.649,,1915
Chicago White Sox,93,61,0.604,,1915
Washington Senators,85,68,0.556,17.0,1915
New York Yankees,69,83,0.454,,1915
St. Louis Browns,63,91,0.409,,1915
Cleveland Indians,57,95,0.375,,1915
Philadelphia Athletics,43,109,0.283,,1915
Team | Roster,W,L,,,1915
Base on Balls,Detroit,681,,,1915
Batting Average,Detroit,.268,,,1915
Doubles,Detroit,207,,,1915
Hits,Detroit,1372,,,1915
Home Runs,New York,31,,,1915
On Base Percentage,Detroit,.357,,,1915
Runs,Detroit,778,,,1915
Slugging Average,Detroit,.358,,,1915
Stolen Bases,Detroit,241,,,1915
Triples,Chicago,102,,,1915
Complete Games,New York,101,,,1915
ERA,Washington,2.31,,,1915
Fewest Hits Allowed,Washington,1161,,,1915
Fewest Home Runs Allowed,Washington,12,,,1915
Fewest Walks Allowed,Chicago,350,,,1915
Saves,Detroit,20,,,1915
Shutouts,Washington,21,,,1915
Strikeouts,Washington,715,,,1915
Base on Balls,Burt Shotton,St. Louis,110.0,,1916
Batting Average,Tris Speaker,Cleveland,0.386,,1916
Doubles,Jack Graney,Cleveland,41.0,,1916
Doubles,Tris Speaker,Cleveland,41.0,,1916
Hits,Tris Speaker,Cleveland,211.0,,1916
Home Runs,Wally Pipp,New York,12.0,,1916
On Base Percentage,Tris Speaker,Cleveland,0.47,,1916
RBI,Del Pratt,St. Louis,103.0,,1916
Runs,Ty Cobb,Detroit,113.0,,1916
Slugging Average,Tris Speaker,Cleveland,0.502,,1916
Stolen Bases,Ty Cobb,Detroit,68.0,,1916
Total Bases,Joe Jackson,Chicago,293.0,,1916
Triples,Joe Jackson,Chicago,21.0,,1916
1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1916
Complete Games,Walter Johnson,Washington,36.0,,1916
ERA,Babe Ruth,Boston,1.75,,1916
Games,Dave Davenport,St. Louis,59.0,,1916
Saves,Bob Shawkey,New York,8.0,,1916
Shutouts,Babe Ruth,Boston,9.0,,1916
Strikeouts,Walter Johnson,Washington,228.0,,1916
Winning Percentage,Nick Cullop,New York,0.684,,1916
Wins,Walter Johnson,Washington,25.0,,1916
1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1916
Team | Roster,W,L,,,1916
Boston Red Sox,91,63,0.591,0.0,1916
Chicago White Sox,89,65,0.578,2.0,1916
Detroit Tigers,87,67,0.565,4.0,1916
New York Yankees,80,74,0.519,11.0,1916
St. Louis Browns,79,75,0.513,12.0,1916
Cleveland Indians,77,77,0.5,14.0,1916
Washington Senators,76,77,0.497,,1916
Philadelphia Athletics,36,117,0.235,,1916
Team | Roster,W,L,,,1916
Base on Balls,St. Louis,626,,,1916
Batting Average,Detroit,.264,,,1916
Doubles,Cleveland,233,,,1916
Hits,Detroit,1371,,,1916
Home Runs,New York,35,,,1916
On Base Percentage,Detroit,.337,,,1916
Runs,Detroit,673,,,1916
Slugging Average,Detroit,.350,,,1916
Stolen Bases,St. Louis,234,,,1916
Triples,Chicago,100,,,1916
Complete Games,Philadelphia,94,,,1916
ERA,Chicago,2.36,,,1916
Fewest Hits Allowed,Chicago,1189,,,1916
Fewest Home Runs Allowed,Boston,10,,,1916
Fewest Walks Allowed,Chicago,405,,,1916
Saves,New York,17,,,1916
Shutouts,Boston,24,,,1916
Strikeouts,Washington,706,,,1916
Base on Balls,Jack Graney,Cleveland,94.0,,1917
Batting Average,Ty Cobb,Detroit,0.383,,1917
Doubles,Ty Cobb,Detroit,44.0,,1917
Hits,Ty Cobb,Detroit,225.0,,1917
Home Runs,Wally Pipp,New York,9.0,,1917
On Base Percentage,Ty Cobb,Detroit,0.444,,1917
RBI,Bobby Veach,Detroit,103.0,,1917
Runs,Donie Bush,Detroit,112.0,,1917
Slugging Average,Ty Cobb,Detroit,0.57,,1917
Stolen Bases,Ty Cobb,Detroit,55.0,,1917
Total Bases,Ty Cobb,Detroit,335.0,,1917
Triples,Ty Cobb,Detroit,24.0,,1917
1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1917
Complete Games,Babe Ruth,Boston,35.0,,1917
ERA,Eddie Cicotte,Chicago,1.53,,1917
Games,Dave Danforth,Chicago,50.0,,1917
Saves,Dave Danforth,Chicago,9.0,,1917
Shutouts,Stan Coveleski,Cleveland,9.0,,1917
Strikeouts,Walter Johnson,Washington,188.0,,1917
Winning Percentage,Ed Klepfer,Cleveland,0.778,,1917
Wins,Eddie Cicotte,Chicago,28.0,,1917
1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1917
Team | Roster,W,L,,,1917
Chicago White Sox,100,54,0.649,0.0,1917
Boston Red Sox,90,62,0.592,9.0,1917
Cleveland Indians,88,66,0.571,12.0,1917
Detroit Tigers,78,75,0.51,,1917
Washington Senators,74,79,0.484,,1917
New York Yankees,71,82,0.464,,1917
St. Louis Browns,57,97,0.37,43.0,1917
Philadelphia Athletics,55,98,0.359,,1917
Team | Roster,W,L,,,1917
Base on Balls,Cleveland,549,,,1917
Batting Average,Detroit,.259,,,1917
Doubles,Cleveland,218,,,1917
Hits,Detroit,1317,,,1917
Home Runs,New York,27,,,1917
On Base Percentage,Chicago,.329,,,1917
Runs,Chicago,656,,,1917
Slugging Average,Detroit,.344,,,1917
Stolen Bases,Chicago,219,,,1917
Triples,Chicago,81,,,1917
Complete Games,Boston,115,,,1917
ERA,Chicago,2.16,,,1917
Fewest Hits Allowed,Boston,1197,,,1917
Fewest Home Runs Allowed,Chicago,10,,,1917
Fewest Walks Allowed,Boston,413,,,1917
Fewest Walks Allowed,Chicago,413,,,1917
Saves,Cleveland,22,,,1917
Shutouts,Chicago,22,,,1917
Strikeouts,Washington,637,,,1917
Base on Balls,Ray Chapman,Cleveland,84.0,,1918
Batting Average,Ty Cobb,Detroit,0.382,,1918
Doubles,Tris Speaker,Cleveland,33.0,,1918
Hits,George Burns,Philadelphia,178.0,,1918
Home Runs,Babe Ruth,Boston,11.0,,1918
Home Runs,Tilly Walker,Philadelphia,11.0,,1918
On Base Percentage,Ty Cobb,Detroit,0.44,,1918
RBI,Bobby Veach,Detroit,78.0,,1918
Runs,Ray Chapman,Cleveland,84.0,,1918
Slugging Average,Babe Ruth,Boston,0.555,,1918
Stolen Bases,George Sisler,St. Louis,45.0,,1918
Total Bases,George Burns,Philadelphia,236.0,,1918
Triples,Ty Cobb,Detroit,14.0,,1918
1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1918
Complete Games,Carl Mays,Boston,30.0,,1918
Complete Games,Scott Perry,Philadelphia,30.0,,1918
ERA,Walter Johnson,Washington,1.27,,1918
Games,Jim Bagby,Cleveland,45.0,,1918
Games,George Mogridge,New York,45.0,,1918
Saves,George Mogridge,New York,7.0,,1918
Shutouts,Walter Johnson,Washington,8.0,,1918
Shutouts,Carl Mays,Boston,8.0,,1918
Strikeouts,Walter Johnson,Washington,162.0,,1918
Winning Percentage,Sam Jones,Boston,0.762,,1918
Wins,Walter Johnson,Washington,23.0,,1918
1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1918 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1918
Team | Roster,W,L,,,1918
Boston Red Sox,75,51,0.595,0.0,1918
Cleveland Indians,73,54,0.575,,1918
Washington Senators,72,56,0.563,4.0,1918
New York Yankees,60,63,0.488,,1918
St. Louis Browns,58,64,0.475,15.0,1918
Chicago White Sox,57,67,0.46,17.0,1918
Detroit Tigers,55,71,0.437,20.0,1918
Philadelphia Athletics,52,76,0.406,24.0,1918
Team | Roster,W,L,,,1918
Final 1918 AL Official Standings,Final 1918 AL Official Standings,Final 1918 AL Official Standings,,,1918
Base on Balls,Cleveland,491,,,1918
Batting Average,Cleveland,.260,,,1918
Doubles,Cleveland,176,,,1918
Hits,Washington,1144,,,1918
Home Runs,Philadelphia,22,,,1918
On Base Percentage,Cleveland,.344,,,1918
Runs,Cleveland,504,,,1918
Slugging Average,Cleveland,.341,,,1918
Stolen Bases,Cleveland,165,,,1918
Triples,Cleveland,67,,,1918
Complete Games,Boston,105,,,1918
ERA,Washington,2.14,,,1918
Fewest Hits Allowed,Boston,931,,,1918
Fewest Home Runs Allowed,Boston,9,,,1918
Fewest Home Runs Allowed,Chicago,9,,,1918
Fewest Home Runs Allowed,Cleveland,9,,,1918
Fewest Walks Allowed,Chicago,300,,,1918
Saves,Cleveland,13,,,1918
Saves,New York,13,,,1918
Shutouts,Boston,26,,,1918
Strikeouts,Washington,505,,,1918
Base on Balls,Jack Graney,Cleveland,105.0,,1919
Batting Average,Ty Cobb,Detroit,0.384,,1919
Doubles,BobbyVeach,Detroit,45.0,,1919
Hits,Ty Cobb,Detroit,191.0,,1919
Hits,BobbyVeach,Detroit,191.0,,1919
Home Runs,Babe Ruth,Boston,29.0,,1919
On Base Percentage,Babe Ruth,Boston,0.456,,1919
RBI,Babe Ruth,Boston,114.0,,1919
Runs,Babe Ruth,Boston,103.0,,1919
Slugging Average,Babe Ruth,Boston,0.657,,1919
Stolen Bases,Eddie Collins,Chicago,33.0,,1919
Total Bases,Babe Ruth,Boston,284.0,,1919
Triples,BobbyVeach,Detroit,17.0,,1919
1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1919
Complete Games,Eddie Cicotte,Chicago,30.0,,1919
ERA,Walter Johnson,Washington,1.49,,1919
Games,Jim Shaw,Washington,45.0,,1919
Saves,Allan Russell,New York,5.0,,1919
Saves,Allan Russell,Boston,5.0,,1919
Saves,Bob Shawkey,New York,5.0,,1919
Saves,Jim Shaw,Washington,5.0,,1919
Shutouts,Walter Johnson,Washington,7.0,,1919
Strikeouts,Walter Johnson,Washington,147.0,,1919
Winning Percentage,Eddie Cicotte,Chicago,0.806,,1919
Wins,Eddie Cicotte,Chicago,29.0,,1919
1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1919 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,,,1919
Team | Roster,W,L,,,1919
Chicago White Sox,88,52,0.629,0.0,1919
Cleveland Indians,84,55,0.604,,1919
New York Yankees,80,59,0.576,,1919
Detroit Tigers,80,60,0.571,8.0,1919
St. Louis Browns,67,72,0.482,,1919
Boston Red Sox,66,71,0.482,,1919
Washington Senators,56,84,0.4,32.0,1919
Philadelphia Athletics,36,104,0.257,52.0,1919
